id,to_Word_id,Position,Value,Gloss,Part_of_Speech
28759,14426,1,"ik’i",go,v
28760,14426,2,-nosi,-ANT.CVB,-vsuf
28761,14427,1,elo,there,adv
28762,14428,1,mesed,gold,n3
28763,14428,2,-s,-GEN1,-nsuf
28764,14429,1,r-,IV-,pref-
28765,14429,2,"ic’",fill,v
28766,14429,3,-asi,-RES.PRT,-vsuf
28767,14430,1,istowli,table,n4
28768,14431,1,r-,IV-,pref-
28769,14431,2,esu,find,v
28770,14431,3,-n,-PST.UNW,-vsuf
28771,14432,1,"ik’i",go,v
28772,14432,2,-n,-PFV.CVB,-vsuf
28773,14433,1,yisi,DEM2.ISG.OBL,pron
28774,14433,2,-a,-ERG,-nsuf
28775,14434,1,"reƛ’a",hand,n4
28776,14435,1,iti,touch,v
28777,14435,2,-nosi,-ANT.CVB,-vsuf
28778,14436,1,mesed,gold,n3
28779,14437,1,"nˤoƛu",ashes,n2
28780,14437,2,"-ƛ’or",-SUPER.LAT,-nsuf
28781,14438,1,b-,III-,pref-
28782,14438,2,uti,turn,v
28783,14438,3,-n,-PST.UNW,-vsuf
28784,14439,1,xizor,back,adv
28785,14439,2,-gon,-CNTR,-suf
28786,14440,1,r-,IV-,pref-
28787,14440,2,"oɣ",take.away,v
28788,14440,3,-nosi,-ANT.CVB,-vsuf
28789,14441,1,"yoł",be,v
28790,14441,2,-ru,-PST.PRT,-vsuf
28791,14442,1,mesed,gold,n3
28792,14443,1,b-,III-,pref-
28793,14443,2,oq,become,v
28794,14443,3,-n,-PST.UNW,-vsuf
28795,14444,1,xizyo,afterwards,adv
28796,14445,1,xan,khan,n1
28797,14445,2,-a,-ERG,-nsuf
28798,14446,1,esir,ask,v
28799,14446,2,-n,-PFV.CVB,-vsuf
28800,14447,1,"uži",boy,n1
28801,14447,2,-q,-POSS.ESS,-nsuf
28802,14448,1,nediw,such,pron
28803,14449,1,hunar,talent,n3
28804,14450,1,"yoł",be,v
28805,14450,2,-asi,-RES.PRT,-vsuf
28806,14451,1,"šida",why,pron
28807,14452,1,mi,you,pron
28808,14453,1,eni-babiw,parents,n1pl
28809,14453,2,-a,-ERG,-nsuf
28810,14454,1,bazargan,merchant,n1
28811,14454,2,-bi,-PL,-nsuf
28812,14454,3,-r,-LAT,-nsuf
28813,14455,1,"teƛ",give,v
28814,14455,2,-n,-PFV.CVB,-vsuf
28815,14456,1,"žeda",DEM1.IIPL.OBL,pron
28816,14456,2,-gon,-CNTR,-suf
28817,14457,1,di,me,pron
28818,14457,2,-r,-LAT,-nsuf
28819,14458,1,"neƛ",give,v
28820,14458,2,-a,-PST.WIT.INT,-vsuf
28821,14458,3,"-ƛin",-QUOT,-suf
28822,14459,1,"uži",boy,n1
28823,14459,2,-a,-ERG,-nsuf
28824,14460,1,"eƛi",say,v
28825,14460,2,-n,-PFV.CVB,-vsuf
28826,14461,1,di,me,pron
28827,14461,2,-r,-LAT,-nsuf
28828,14462,1,"howži",now,adv
28829,14463,1,r-,IV-,pref-
28830,14463,2,oq,happen,v
28831,14463,3,-xozo,-PRS.PRT.OBL,-vsuf
28832,14464,1,"łina",what.ERG,pron
28833,14464,2,"-łay",-CONT.ABL,-nsuf
28834,14464,3,-n,-TOP,-suf
28835,14465,1,y-,II-,pref-
28836,14465,2,ukad,see,v
28837,14465,3,-ru,-PST.PRT,-vsuf
28838,14466,1,"moƛu",dream,n2
28839,14467,1,ya,neither,conj
28840,14468,1,eni-babiw,parents,n1pl
28841,14468,2,-q,-POSS.ESS,-nsuf
28842,14469,1,ya,neither,conj
28843,14470,1,"žedu",DEM1.IPL.OBL,pron
28844,14471,1,bazargan,merchant,n1
28845,14471,2,-bi,-PL,-nsuf
28846,14471,3,-q,-POSS.ESS,-nsuf
28847,14472,1,esi,tell,v
28848,14472,2,"-č’i",-NEG.FUT,-vsuf
28849,14472,3,"-zaƛ’",-CSL.CVB,-vsuf
28850,14473,1,"žedu",DEM1.IIPL,pron
28851,14473,2,-a,-ERG,-nsuf
28852,14474,1,di,me,pron
28853,14475,1,"teƛ",give,v
28854,14475,2,-s,-PST.WIT,-vsuf
28855,14475,3,"-ƛin",-QUOT,-suf
28856,14476,1,"žedu",DEM1.IPL,pron
28857,14476,2,-q,-POSS.ESS,-nsuf
28858,14477,1,"ža",DEM1.SG,pron
28859,14478,1,"moƛu",dream,n2
28860,14478,2,-gon,-CNTR,-suf
28861,14479,1,esi,tell,v
28862,14479,2,-s,-PST.WIT,-vsuf
28863,14480,1,"yołi",indeed,adv
28864,14481,1,di,me,pron
28865,14482,1,"yoł",be,v
28866,14482,2,-ru,-PST.PRT,-vsuf
28867,14482,3,-xor,-AD.LAT,-nsuf
28868,14483,1,"ƛexu",remain,v
28869,14483,2,-a,-INF,-vsuf
28870,14484,1,zow,be.NPRS,v
28871,14484,2,-s,-PST.WIT,-vsuf
28872,14484,3,"-ƛin",-QUOT,-suf
28873,14485,1,xan,khan,n1
28874,14485,2,-a,-ERG,-nsuf
28875,14485,3,-gon,-CNTR,-suf
28876,14486,1,"uži",boy,n1
28877,14486,2,-s,-GEN1,-nsuf
28878,14487,1,eni-babiw,parents,n1pl
28879,14488,1,"goƛ’i",call,v
28880,14488,2,-a,-INF,-vsuf
28881,14489,1,"žek’u",man,n1
28882,14489,2,-n,-TOP,-suf
28883,14490,1,egir,send,v
28884,14490,2,-n,-PFV.CVB,-vsuf
28885,14491,1,"neła",DEM1.IISG.OBL,pron
28886,14492,1,qu,day,n4
28887,14492,2,"-ł",-CONT.ESS,-nsuf
28888,14493,1,sasaq,in.the.morning,adv
28889,14493,2,-tow,-EMPH,-suf
28890,14494,1,"žedu",DEM1.IPL,pron
28891,14494,2,-n,-TOP,-suf
28892,14495,1,b-,III-,pref-
28893,14495,2,ayr,bring,v
28894,14495,3,-n,-PST.UNW,-vsuf
28895,14496,1,"neła",DEM1.IISG.OBL,pron
28896,14496,2,"-ƛ’ay",-SUPER.ABL,-nsuf
28897,14497,1,soder,after,post
28898,14498,1,eniw,mother,n2
28899,14498,2,-n,-and,-suf
28900,14499,1,babiw,father,n1
28901,14499,2,-n,-and,-suf
28902,14500,1,"uži",son,n1
28903,14500,2,-de,-APUD.ESS,-nsuf
28904,14501,1,paraxat,calmly,adv
28905,14502,1,"bercinłi",beauty,n4
28906,14502,2,"-ƛ’",-SUPER.ESS,-nsuf
28907,14503,1,xan,khan,n1
28908,14503,2,-z,-GEN2,-nsuf
28909,14504,1,"ʕaƛ",village,n3
28910,14504,2,-a,-IN.ESS,-nsuf
28911,14505,1,"ʕumru",life,n3
28912,14506,1,b-,III-,pref-
28913,14506,2,odi,do,v
28914,14506,3,-x,-IPFV.CVB,-vsuf
28915,14507,1,b-,III-,pref-
28916,14507,2,"iči",be,v
28917,14507,3,-n,-PST.UNW,-vsuf
28918,14508,1,"k’uruč’",Kuruch,n
28919,14509,1,"k’eč’",pearl,n4
28920,14510,1,"ɣudi",day,n4
28921,14511,1,r-,IV-,pref-
28922,14511,2,ocu,become.clean,v
28923,14512,1,buq,sun,n3
28924,14513,1,b-,III-,pref-
28925,14513,2,ay,come,v
28926,14514,1,esi,tell,v
28927,14514,2,-n,-PFV.CVB,-vsuf
28928,14515,1,"šebi",what,pron
28929,14516,1,xeci,leave,v
28930,14516,2,-n,-PFV.CVB,-vsuf
28931,14517,1,"šebi",what,pron
28932,14518,1,sis,one,num
28933,14519,1,zow,be.NPRS,v
28934,14519,2,-n,-PST.UNW,-vsuf
28935,14520,1,"q’ˤano",two,num
28936,14521,1,"halmaɣ",friend,n1
28937,14522,1,"žedu",DEM1.IPL,pron
28938,14522,2,"-łay",-CONT.ABL,-nsuf
28939,14523,1,sis,one,num
28940,14524,1,zow,be.NPRS,v
28941,14524,2,-n,-PFV.CVB,-vsuf
28942,14525,1,igu,good,adj
28943,14526,1,sis,one,num
28944,14527,1,zow,be.NPRS,v
28945,14527,2,-n,-PST.UNW,-vsuf
28946,14528,1,"žuka",bad,adj
28947,14529,1,sida,one.OBL,num
28948,14530,1,qu,day,n4
28949,14530,2,"-ł",-CONT.ESS,-nsuf
28950,14531,1,"žedu",DEM1.IPL,pron
28951,14532,1,sadaq,together,adv
28952,14533,1,huni,way,n4
28953,14533,2,-x,-AD.ESS,-nsuf
28954,14534,1,b-,I.PL-,pref-
28955,14534,2,"ik’i",go,v
28956,14534,3,-a,-INF,-vsuf
28957,14535,1,keze,meet,comp
28958,14536,1,b-,I.PL-,pref-
28959,14536,2,oq,become,v
28960,14536,3,-n,-PST.UNW,-vsuf
28961,14537,1,huni,way,n4
28962,14537,2,-x,-AD.ESS,-nsuf
28963,14538,1,meko,hunger,n3
28964,14539,1,"c’ox",meet,v
28965,14539,2,-nosi,-ANT.CVB,-vsuf
28966,14540,1,"žedu",DEM1.IPL,pron
28967,14540,2,-a,-ERG,-nsuf
28968,14541,1,sosi,at.first,adv
28969,14542,1,igu,good,adj
28970,14542,2,-ni,-DEF,-suf
28971,14543,1,"halmaɣ",friend,n1
28972,14543,2,-s,-GEN1,-nsuf
28973,14544,1,"bišʷa",food,n4
28974,14545,1,r-,IV-,pref-
28975,14545,2,"ac’",eat,v
28976,14545,3,-n,-PFV.CVB,-vsuf
28977,14546,1,"łiyr",finish,v
28978,14546,2,-n,-PST.UNW,-vsuf
28979,14547,1,xizyo,afterwards,adv
28980,14548,1,igu,good,adj
28981,14548,2,-ni,-DEF,-suf
28982,14549,1,"halmaɣ",friend,n1
28983,14549,2,"-ƛ’",-SUPER.ESS,-nsuf
28984,14550,1,meko,hunger,n3
28985,14550,2,-n,-TOP,-suf
28986,14551,1,"c’ox",meet,v
28987,14551,2,-n,-PFV.CVB,-vsuf
28988,14552,1,"žuk",worse,adj
28989,14552,2,-ani,-MSD,-deriv
28990,14552,3,-q,-POSS.ESS,-nsuf
28991,14553,1,"bišʷa",food,n4
28992,14553,2,-n,-TOP,-suf
28993,14554,1,esir,ask,v
28994,14554,2,-n,-PFV.CVB,-vsuf
28995,14555,1,sosi,at.first,adv
28996,14555,2,-gon,-CNTR,-suf
28997,14556,1,b-,I.PL-,pref-
28998,14556,2,"iš",eat,v
28999,14556,3,-n,-PFV.CVB,-vsuf
29000,14557,1,"žedu",DEM1.IPL,pron
29001,14558,1,"k’ox",twice,adv
29002,14559,1,"äƛiru",ORD,num
29003,14559,2,-gon,-CNTR,-suf
29004,14560,1,mekod,be.hungry,v
29005,14560,2,-n,-PFV.CVB,-vsuf
29006,14561,1,igu,good,adj
29007,14561,2,-ni,-DEF,-suf
29008,14562,1,"halmaɣ",friend,n1
29009,14562,2,-a,-ERG,-nsuf
29010,14563,1,"bišʷa",food,n4
29011,14564,1,esir,ask,v
29012,14564,2,-nosi,-ANT.CVB,-vsuf
29013,14565,1,nesi,DEM1.ISG.OBL,pron
29014,14565,2,-a,-ERG,-nsuf
29015,14566,1,inkar,rejection,n3
29016,14567,1,b-,III-,pref-
29017,14567,2,odi,do,v
29018,14567,3,-n,-PST.UNW,-vsuf
29019,14568,1,mi,you,pron
29020,14568,2,-r,-LAT,-nsuf
29021,14569,1,di,me,pron
29022,14570,1,sosi,at.first,adv
29023,14571,1,"neƛ",give,v
29024,14571,2,"-č’u",-NEG.PST.WIT,-vsuf
29025,14571,3,-a,-Q,-suf
29026,14571,4,"-ƛin",-QUOT,-suf
29027,14572,1,xizyogon,then,adv
29028,14573,1,"žuk",worse,adj
29029,14573,2,-ani,-MSD,-deriv
29030,14574,1,"halmaɣ",friend,n1
29031,14574,2,-a,-ERG,-nsuf
29032,14575,1,"eƛi",say,v
29033,14575,2,-n,-PST.UNW,-vsuf
29034,14576,1,mi,you,pron
29035,14576,2,-r,-LAT,-nsuf
29036,14577,1,"bišʷa",food,n4
29037,14578,1,r-,IV-,pref-
29038,14578,2,eti,want,v
29039,14578,3,"-näy",-CND.CVB,-vsuf
29040,14579,1,r-,IV-,pref-
29041,14579,2,"oɣ",take.away,v
29042,14579,3,-n,-PFV.CVB,-vsuf
29043,14580,1,mi,you,pron
29044,14581,1,di,me,pron
29045,14581,2,-r,-LAT,-nsuf
29046,14582,1,sis,one,num
29047,14583,1,ozuri,eye,n4
29048,14584,1,"neƛ",give,v
29049,14584,2,"-ƛin",-QUOT,-suf
29050,14585,1,meko,hunger,n3
29051,14585,2,-s,-GEN1,-nsuf
29052,14586,1,nece,so.much,adv
29053,14587,1,"ħal",strength,n3
29054,14588,1,b-,III-,pref-
29055,14588,2,oq,become,v
29056,14588,3,"-zaƛ’",-CSL.CVB,-vsuf
29057,14589,1,r-,IV-,pref-
29058,14589,2,"oɣ",take.away,v
29059,14589,3,-n,-PFV.CVB,-vsuf
29060,14590,1,ozuri,eye,n4
29061,14591,1,"teƛ",give,v
29062,14591,2,-nosi,-ANT.CVB,-vsuf
29063,14592,1,dandi,now,adv
29064,14593,1,"žuk",worse,adj
29065,14593,2,-ani,-MSD,-deriv
29066,14594,1,"halmaɣ",friend,n1
29067,14594,2,-a,-ERG,-nsuf
29068,14595,1,igu,good,adj
29069,14595,2,-ni,-DEF,-suf
29070,14595,3,-r,-LAT,-nsuf
29071,14596,1,r-,IV-,pref-
29072,14596,2,"ac’",eat,v
29073,14596,3,-a,-INF,-vsuf
29074,14597,1,"bišʷa",food,n4
29075,14598,1,"teƛ",give,v
29076,14598,2,-n,-PST.UNW,-vsuf
29077,14599,1,xizyogon,again,adv
29078,14600,1,meko,hunger,n3
29079,14601,1,"c’ox",meet,v
29080,14601,2,-n,-PFV.CVB,-vsuf
29081,14602,1,igu,good,adj
29082,14602,2,-ni,-DEF,-suf
29083,14603,1,"halmaɣ",friend,n1
29084,14603,2,-a,-ERG,-nsuf
29085,14604,1,"žuk",worse,adj
29086,14604,2,-ani,-MSD,-deriv
29087,14604,3,-q,-POSS.ESS,-nsuf
29088,14605,1,"bišʷa",food,n4
29089,14606,1,esir,ask,v
29090,14606,2,-nosi,-ANT.CVB,-vsuf
29091,14607,1,"q’ˤano",two,num
29092,14608,1,"äƛiru",ORD,num
29093,14608,2,-gon,-CNTR,-suf
29094,14609,1,ozuri,eye,n4
29095,14610,1,r-,IV-,pref-
29096,14610,2,"oɣ",take.away,v
29097,14610,3,-n,-PFV.CVB,-vsuf
29098,14611,1,nesi,DEM1.ISG.OBL,pron
29099,14611,2,-r,-LAT,-nsuf
29100,14612,1,"teƛ",give,v
29101,14612,2,"-zaƛ’or",-POST.CVB,-vsuf
29102,14613,1,"iš",eat,v
29103,14613,2,-r,-CAUS,-vsuf
29104,14613,3,-n,-PFV.CVB,-vsuf
29105,14613,4,-anu,-NEG,-vsuf
29106,14614,1,"ža",DEM1.SG,pron
29107,14615,1,"žuk",worse,adj
29108,14615,2,-ani,-MSD,-deriv
29109,14616,1,"halmaɣ",friend,n1
29110,14616,2,-a,-ERG,-nsuf
29111,14617,1,hemedur,so,adv
29112,14618,1,"q’ˤuna",two.OBL,num
29113,14618,2,-n,-TOP,-suf
29114,14619,1,ozuri,eye,n4
29115,14619,2,-bi,-PL,-nsuf
29116,14619,3,"-ƛ’ay",-SUPER.ABL,-nsuf
29117,14619,4,-n,-TOP,-suf
29118,14620,1,"ok’ek’",steal,v
29119,14620,2,-n,-PFV.CVB,-vsuf
29120,14621,1,igu,good,adj
29121,14621,2,-ni,-DEF,-suf
29122,14622,1,"halmaɣ",friend,n1
29123,14623,1,"žuk",worse,adj
29124,14623,2,-anu,-NEG,-vsuf
29125,14623,3,-a,-ERG,-nsuf
29126,14624,1,howlo,there,adv
29127,14624,2,-tow,-EMPH,-suf
29128,14625,1,"ža",DEM1.SG,pron
29129,14625,2,-n,-TOP,-suf
29130,14626,1,xeci,leave,v
29131,14626,2,-n,-PFV.CVB,-vsuf
29132,14627,1,oxi,run.away,v
29133,14627,2,-n,-PST.UNW,-vsuf
29134,14628,1,nesi,DEM1.ISG.OBL,pron
29135,14628,2,-day,-APUD.ABL,-nsuf
29136,14629,1,hudun,nevertheless,adv
29137,14630,1,"ža",DEM1.SG,pron
29138,14631,1,ozuri,eye,n4
29139,14631,2,-bi,-PL,-nsuf
29140,14631,3,-taw,-without,-nsuf
29141,14631,4,-ni,-DEF,-suf
29142,14632,1,"žek’u",man,n1
29143,14633,1,harihun,slowly,adv
29144,14634,1,"ƛaƛaƛi",feel.up,v
29145,14634,2,-x,-IPFV.CVB,-vsuf
29146,14635,1,"ik’i",go,v
29147,14635,2,-n,-PFV.CVB,-vsuf
29148,14636,1,"sidaɣ",in.one.place,adv
29149,14637,1,"aɣˤu",mill,n2
29150,14637,2,-xor,-AD.LAT,-nsuf
29151,14638,1,keze,meet,comp
29152,14639,1,oq,become,v
29153,14639,2,-n,-PST.UNW,-vsuf
29154,14640,1,elo,there,adv
29155,14640,2,-r,-LAT,-nsuf
29156,14641,1,ay,come,v
29157,14641,2,-nosi,-ANT.CVB,-vsuf
29158,14642,1,mogolo,granary,n3
29159,14642,2,-ar,-IN.LAT,-nsuf
29160,14642,3,-n,-TOP,-suf
29161,14643,1,izi,get,v
29162,14643,2,-n,-PFV.CVB,-vsuf
29163,14644,1,kec,sleep,v
29164,14644,2,-n,-PFV.CVB,-vsuf
29165,14645,1,"iči",be,v
29166,14645,2,-n,-PST.UNW,-vsuf
29167,14646,1,"hemeła",then,adv
29168,14647,1,qu,day,n4
29169,14647,2,"-ł",-CONT.ESS,-nsuf
29170,14647,3,-tow,-EMPH,-suf
29171,14648,1,mogolo,granary,n3
29172,14648,2,-x,-AD.ESS,-nsuf
29173,14649,1,elo,there,adv
29174,14650,1,"aɣˤu",mill,n2
29175,14650,2,-xor,-AD.LAT,-nsuf
29176,14651,1,zey,bear,n3
29177,14651,2,-n,-and,-suf
29178,14652,1,ziru,fox,n3
29179,14652,2,-n,-and,-suf
29180,14653,1,"boc’i",wolf,n3
29181,14653,2,-n,-and,-suf
29182,14654,1,r-,IV.PL-,pref-
29183,14654,2,ay,come,v
29184,14654,3,-n,-PST.UNW,-vsuf
29185,14655,1,zey,bear,n3
29186,14655,2,-a,-ERG,-nsuf
29187,14656,1,"žeda",DEM1.IIPL.OBL,pron
29188,14656,2,-qor,-POSS.LAT,-nsuf
29189,14657,1,"eƛi",say,v
29190,14657,2,-n,-PST.UNW,-vsuf
29191,14658,1,"hemeł",DEM4.IISG.OBL,pron
29192,14659,1,b-,III-,pref-
29193,14659,2,"eže",big,adj
29194,14659,3,-ni,-DEF,-suf
29195,14660,1,"ʕaƛ",village,n3
29196,14660,2,-a,-IN.ESS,-nsuf
29197,14661,1,"łi",water,n4
29198,14662,1,anu,be.NEG,v
29199,14662,2,"-ƛax",-QUOT,-suf
29200,14663,1,elo,there,adv
29201,14664,1,"ʕaƛ",village,n3
29202,14664,2,"-ł",-CONT.ESS,-nsuf
29203,14665,1,r-,IV.PL-,pref-
29204,14665,2,"oƛƛo",middle,adv
29205,14666,1,ixiw,big,adj
29206,14667,1,"naħu",oak,n2
29207,14667,2,-z,-GEN2,-nsuf
29208,14668,1,"ɣun",tree,n4
29209,14668,2,-a,-IN.ESS,-nsuf
29210,14669,1,"teł",inside,adv
29211,14670,1,"łi",water,n4
29212,14671,1,"yoł",be,v
29213,14671,2,"-ƛax",-QUOT,-suf
29214,14672,1,ele,there,adv
29215,14672,2,-ay,-IN.ABL,-nsuf
29216,14673,1,"ža",DEM1.SG,pron
29217,14674,1,"maħor",outside,adv
29218,14675,1,"łi",water,n4
29219,14676,1,r-,IV-,pref-
29220,14676,2,"oƛik’",pull.out,v
29221,14676,3,-ru,-PST.PRT,-vsuf
29222,14676,4,-r,-LAT,-nsuf
29223,14677,1,"žamaʕat",assembly,n3
29224,14677,2,-a,-ERG,-nsuf
29225,14678,1,"ʕaƛ",village,n3
29226,14678,2,-s,-GEN1,-nsuf
29227,14679,1,b-,III-,pref-
29228,14679,2,"oƛƛik’u",half,adj
29229,14680,1,"ric’q’i",wealth,n3
29230,14681,1,"neƛ",give,v
29231,14681,2,-x,-PRS,-vsuf
29232,14681,3,"-ƛax",-QUOT,-suf
29233,14682,1,"ža",DEM1.SG,pron
29234,14682,2,"-ƛa",-INDEF,-nsuf
29235,14683,1,"šebi",what,pron
29236,14683,2,"-ƛin",-QUOT,-suf
29237,14684,1,"boc’i",wolf,n3
29238,14684,2,-a,-ERG,-nsuf
29239,14685,1,"eƛi",say,v
29240,14685,2,-n,-PFV.CVB,-vsuf
29241,14686,1,pulanaw,a.certain,adj
29242,14687,1,xan,khan,n1
29243,14688,1,untizi,be.sick,comp
29244,14689,1,oq,become,v
29245,14689,2,-asi,-RES.PRT,-vsuf
29246,14689,3,"-ƛax",-QUOT,-suf
29247,14690,1,nesi,DEM1.ISG.OBL,pron
29248,14690,2,-z,-GEN2,-nsuf
29249,14690,3,-tow,-EMPH,-suf
29250,14691,1,"bˤeƛ’",sheep,n3pl
29251,14691,2,"-ł",-CONT.ESS,-nsuf
29252,14692,1,"yoł",be,v
29253,14692,2,-ru,-PST.PRT,-vsuf
29254,14693,1,"biƛu",belly,n
29255,14693,2,-x,-AD.ESS,-nsuf
29256,14694,1,"aluk’a",white,adj
29257,14694,2,-ni,-DEF,-suf
29258,14695,1,"bˤeƛ’q’ˤu",sheep,n3
29259,14695,2,-s,-GEN1,-nsuf
29260,14696,1,"reƛ",meat,n4
29261,14697,1,r-,IV-,pref-
29262,14697,2,"ac’",eat,v
29263,14697,3,"-näy",-CND.CVB,-vsuf
29264,14698,1,"ža",DEM1.SG,pron
29265,14699,1,xan,khan,n1
29266,14700,1,"saɣ",cure,comp
29267,14701,1,oq,become,v
29268,14701,2,-xosi,-PRS.PRT,-vsuf
29269,14702,1,"yoł",be,v
29270,14702,2,-ru,-PST.PRT,-vsuf
29271,14702,3,"-łi",-NMLZ,-deriv
29272,14702,4,-n,-and,-suf
29273,14703,1,"xalq’i",people,n3
29274,14703,2,-r,-LAT,-nsuf
29275,14704,1,r-,IV-,pref-
29276,14704,2,iy,know,v
29277,14704,3,-x,-IPFV.CVB,-vsuf
29278,14704,4,-anu,-NEG,-vsuf
29279,14705,1,"łemu",otherwise,conj
29280,14706,1,b-,III-,pref-
29281,14706,2,"oƛƛik’u",half,adj
29282,14707,1,"ric’q’i",wealth,n3
29283,14708,1,xan,khan,n1
29284,14708,2,-qay,-POSS.ABL,-nsuf
29285,14708,3,-n,-TOP,-suf
29286,14709,1,b-,III-,pref-
29287,14709,2,iqi,get,v
29288,14709,3,"-ƛin",-QUOT,-suf
29289,14710,1,"ža",DEM1.SG,pron
29290,14710,2,-gon,-CNTR,-suf
29291,14711,1,"šebi",what,pron
29292,14711,2,"-ƛin",-QUOT,-suf
29293,14712,1,ziru,fox,n3
29294,14712,2,-a,-ERG,-nsuf
29295,14713,1,"eƛi",say,v
29296,14713,2,-n,-PST.UNW,-vsuf
29297,14714,1,sis,one,num
29298,14714,2,-gon,-CNTR,-suf
29299,14715,1,"xalq’i",people,n3
29300,14715,2,-r,-LAT,-nsuf
29301,14716,1,r-,IV-,pref-
29302,14716,2,iy,know,v
29303,14716,3,-xanusi,-NEG.PRS.PRT,-vsuf
29304,14717,1,"šebin",thing,n4
29305,14718,1,"łiłiro",ditch,n3
29306,14718,2,"-ƛ’",-SUPER.ESS,-nsuf
29307,14719,1,"ƛ’iri",above,post
29308,14720,1,sis,one,num
29309,14721,1,"ažo",tree,n2
29310,14722,1,"yoł",be,v
29311,14723,1,"neła",DEM1.IISG.OBL,pron
29312,14723,2,-q,-POSS.ESS,-nsuf
29313,14724,1,y-,II-,pref-
29314,14724,2,oq,become,v
29315,14724,3,-asi,-RES.PRT,-vsuf
29316,14725,1,"q’ˤano",two,num
29317,14726,1,"ƛˤeb",leaf,n2
29318,14727,1,"yoł",be,v
29319,14728,1,becaw,blind,adj
29320,14728,2,-ni,-DEF,-suf
29321,14729,1,"žek’u",man,n1
29322,14729,2,-a,-ERG,-nsuf
29323,14730,1,"ža",DEM1.SG,pron
29324,14731,1,ozuri,eye,n4
29325,14731,2,-bi,-PL,-nsuf
29326,14731,3,-q,-POSS.ESS,-nsuf
29327,14732,1,y-,II-,pref-
29328,14732,2,"iħi",smear,v
29329,14732,3,"-näy",-CND.CVB,-vsuf
29330,14733,1,"neła",DEM1.IISG.OBL,pron
29331,14733,2,-a,-ERG,-nsuf
29332,14734,1,"kanłi",light,n3
29333,14735,1,b-,III-,pref-
29334,14735,2,ayr,bring,v
29335,14735,3,-x,-PRS,-vsuf
29336,14735,4,"-ƛax",-QUOT,-suf
29337,14736,1,"žedu",DEM1.IIPL,pron
29338,14736,2,-a,-ERG,-nsuf
29339,14737,1,b-,III-,pref-
29340,14737,2,exur,kill,v
29341,14737,3,-xozo,-PRS.PRT.OBL,-vsuf
29342,14738,1,xabar,story,n3
29343,14738,2,-qor,-POSS.LAT,-nsuf
29344,14739,1,"aħya",ear,n4
29345,14739,2,-n,-TOP,-suf
29346,14740,1,kur,spread.out,v
29347,14740,2,-n,-PFV.CVB,-vsuf
29348,14741,1,"aɣˤu",mill,n2
29349,14741,2,-z,-GEN2,-nsuf
29350,14742,1,mogolo,granary,n3
29351,14742,2,-a,-IN.ESS,-nsuf
29352,14743,1,"tełer",into,post
29353,14743,2,-n,-PFV.CVB,-vsuf
29354,14744,1,oq,become,v
29355,14744,2,-n,-PFV.CVB,-vsuf
29356,14745,1,ozuri,eye,n4
29357,14745,2,-taw,-without,-nsuf
29358,14745,3,-ni,-DEF,-suf
29359,14746,1,"žek’u",man,n1
29360,14746,2,-n,-TOP,-suf
29361,14747,1,"iči",wait,v
29362,14747,2,-asi,-RES.PRT,-vsuf
29363,14748,1,zow,be.NPRS,v
29364,14748,2,-n,-PST.UNW,-vsuf
29365,14749,1,zey,bear,n3
29366,14749,2,-n,-and,-suf
29367,14750,1,ziru,fox,n3
29368,14750,2,-n,-and,-suf
29369,14751,1,"boc’i",wolf,n3
29370,14751,2,-n,-and,-suf
29371,14752,1,elo,there,adv
29372,14753,1,sasaq,in.the.morning,adv
29373,14753,2,-qor,-POSS.LAT,-nsuf
29374,14753,3,-n,-TOP,-suf
29375,14754,1,r-,III.PL-,pref-
29376,14754,2,"iči",wait,v
29377,14754,3,-n,-PFV.CVB,-vsuf
29378,14755,1,"qˤaši",dawn,n
29379,14755,2,"-ƛ’aɣor",-SUPER.VERS,-nsuf
29380,14756,1,r-,III.PL-,pref-
29381,14756,2,oq,become,v
29382,14756,3,-n,-PFV.CVB,-vsuf
29383,14757,1,r-,III.PL-,pref-
29384,14757,2,"ik’i",go,v
29385,14757,3,-n,-PST.UNW,-vsuf
29386,14758,1,"qˤaši",dawn,v
29387,14758,2,-nosi,-ANT.CVB,-vsuf
29388,14759,1,"ža",DEM1.SG,pron
29389,14760,1,"žek’u",man,n1
29390,14761,1,izi,get.up,v
29391,14761,2,-n,-PFV.CVB,-vsuf
29392,14762,1,mogolo,granary,n3
29393,14762,2,-ay,-IN.ABL,-nsuf
29394,14763,1,"q’ˤida",down,post
29395,14763,2,-r,-LAT,-nsuf
29396,14763,3,-n,-and,-suf
29397,14764,1,oq,become,v
29398,14764,2,-n,-PFV.CVB,-vsuf
29399,14765,1,harihun,slowly,adv
29400,14766,1,"łiłiro",ditch,n3
29401,14766,2,-x,-AD.ESS,-nsuf
29402,14766,3,-si,-ATTR,-suf
29403,14767,1,"łiłiro",ditch,n3
29404,14767,2,-x,-AD.ESS,-nsuf
29405,14767,3,-n,-TOP,-suf
29406,14768,1,"ik’i",go,v
29407,14768,2,-n,-PFV.CVB,-vsuf
29408,14769,1,ziru,fox,n3
29409,14769,2,-a,-ERG,-nsuf
29410,14770,1,"eƛi",say,v
29411,14770,2,-ru,-PST.PRT,-vsuf
29412,14770,3,-ni,-DEF,-suf
29413,14771,1,"ɣun",tree,n4
29414,14772,1,r-,IV-,pref-
29415,14772,2,esur,find,v
